date,TanChau_Discharge,MyTho_EC,MyTho_Salinity,TanChau_Discharge_lag_1d,TanChau_Discharge_lag_3d,TanChau_Discharge_lag_5d,TanChau_Discharge_lag_7d,TanChau_Discharge_lag_14d,TanChau_Discharge_lag_21d,TanChau_Discharge_lag_30d,TanChau_Discharge_roll_3d,TanChau_Discharge_roll_7d,TanChau_Discharge_roll_14d
1994-02-02,333.98633,54.458064516129035,34.85316129032258,329.80664,316.8711,306.03125,301.0586,364.2246,496.51758,654.95215,329.2102864583333,317.7338169642857,316.46512276785717
1994-02-03,337.11133,56.461290322580645,36.135225806451615,333.98633,323.8379,310.5703,303.0332,347.03125,474.33594,635.64746,333.634765625,322.6021205357143,315.75655691964283
1994-02-04,339.38477,58.46451612903226,37.41729032258064,337.11133,329.80664,316.8711,306.03125,330.94336,452.5664,615.88086,336.8274739583333,327.36690848214283,316.35951450892856
1994-02-05,340.1953,60.46774193548387,38.69935483870968,339.38477,333.98633,323.8379,310.5703,317.34766,432.9004,596.75977,338.8971354166667,331.5990513392857,317.99148995535717
1994-02-06,339.10352,62.47096774193549,39.98141935483871,340.1953,337.11133,329.80664,316.8711,307.56055,415.16602,578.7051,339.5611979166667,334.77511160714283,320.2445591517857
1994-02-07,336.40234,64.47419354838709,41.26348387096775,339.10352,339.38477,333.98633,323.8379,302.07422,398.26953,562.041,338.5670572916667,336.57003348214283,322.69656808035717
1994-02-08,332.70312,66.4774193548387,42.54554838709677,336.40234,340.1953,337.11133,329.80664,300.35938,381.39648,547.4375,336.0696614583333,336.9838169642857,325.0068359375
1994-02-09,328.76953,68.48064516129033,43.82761290322581,332.70312,339.10352,339.38477,333.98633,301.0586,364.2246,533.32227,332.625,336.23856026785717,326.98618861607144
1994-02-10,324.89062,70.48387096774194,45.10967741935484,328.76953,336.40234,340.1953,337.11133,303.0332,347.03125,516.7656,328.7877604166667,334.4927455357143,328.5474330357143
1994-02-11,321.16406,72.48709677419356,46.391741935483864,324.89062,332.70312,339.10352,339.38477,306.03125,330.94336,496.51758,324.94140625,331.88978794642856,329.6283482142857
1994-02-12,317.9297,74.49032258064517,47.673806451612904,321.16406,328.76953,336.40234,340.1953,310.5703,317.34766,474.33594,321.328125,328.708984375,330.15401785714283
1994-02-13,315.14062,76.49354838709678,48.95587096774193,317.9297,324.89062,332.70312,339.10352,316.8711,307.56055,452.5664,318.078125,325.2857142857143,330.03041294642856
1994-02-14,312.85547,78.49677419354839,50.23793548387097,315.14062,321.16406,328.76953,336.40234,323.8379,302.07422,432.9004,315.30859375,321.921875,329.24595424107144
1994-02-15,310.86133,80.5,51.52,312.85547,317.9297,324.89062,332.70312,329.80664,300.35938,415.16602,312.9524739583333,318.80161830357144,327.89271763392856
1994-02-16,309.45312,93.73214285714286,59.98857142857143,310.86133,315.14062,321.16406,328.76953,333.98633,301.0586,398.26953,311.056640625,316.04213169642856,326.14034598214283
