date,station,lat,lon,conductivity_mS_per_m,unit,grade,approval,obs_type
2002-08-15,MyTho,10.36,106.36,13.67,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-09-15,MyTho,10.36,106.36,13.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-10-15,MyTho,10.36,106.36,12.84,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-11-15,MyTho,10.36,106.36,14.83,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2002-12-15,MyTho,10.36,106.36,14.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-01-15,MyTho,10.36,106.36,14.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-02-15,MyTho,10.36,106.36,12.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-03-15,MyTho,10.36,106.36,13.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-04-15,MyTho,10.36,106.36,23.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-05-15,MyTho,10.36,106.36,26.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-06-15,MyTho,10.36,106.36,21.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-07-15,MyTho,10.36,106.36,23.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-08-15,MyTho,10.36,106.36,23.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-09-15,MyTho,10.36,106.36,15.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-10-15,MyTho,10.36,106.36,19.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-11-15,MyTho,10.36,106.36,14.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2003-12-15,MyTho,10.36,106.36,14.5,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-01-15,MyTho,10.36,106.36,20.63,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-02-15,MyTho,10.36,106.36,21.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-03-15,MyTho,10.36,106.36,122.9,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-04-15,MyTho,10.36,106.36,187.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-05-15,MyTho,10.36,106.36,124.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-06-15,MyTho,10.36,106.36,39.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-07-15,MyTho,10.36,106.36,19.7,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-08-15,MyTho,10.36,106.36,16.3,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-09-15,MyTho,10.36,106.36,13.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-10-15,MyTho,10.36,106.36,15.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-11-15,MyTho,10.36,106.36,15.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2004-12-15,MyTho,10.36,106.36,14.2,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-01-15,MyTho,10.36,106.36,17.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-02-15,MyTho,10.36,106.36,19.0,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-03-15,MyTho,10.36,106.36,112.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-04-15,MyTho,10.36,106.36,121.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-05-15,MyTho,10.36,106.36,28.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-06-15,MyTho,10.36,106.36,36.4,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-07-15,MyTho,10.36,106.36,18.6,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-08-15,MyTho,10.36,106.36,12.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-09-15,MyTho,10.36,106.36,14.8,mS/m,Unverified data,Raw - Not Yet Reviewed,O
2005-10-15,MyTho,10.36,106.36,13.1,mS/m,Unverified data,Raw - Not Yet Reviewed,O
